year,month,cpi,date
1913,1,0.038933384185100436,1913-01-01
1913,2,0.038933384185100436,1913-02-01
1913,3,0.038933384185100436,1913-03-01
1913,4,0.038933384185100436,1913-04-01
1913,5,0.03853610475464022,1913-05-01
1913,6,0.038933384185100436,1913-06-01
1913,7,0.039330663615560646,1913-07-01
1913,8,0.039330663615560646,1913-08-01
1913,9,0.03972794304602085,1913-09-01
1913,10,0.03972794304602085,1913-10-01
1913,11,0.04012522247648106,1913-11-01
1913,12,0.03972794304602085,1913-12-01
1914,1,0.03972794304602085,1914-01-01
1914,2,0.039330663615560646,1914-02-01
1914,3,0.039330663615560646,1914-03-01
1914,4,0.038933384185100436,1914-04-01
1914,5,0.039330663615560646,1914-05-01
1914,6,0.039330663615560646,1914-06-01
1914,7,0.03972794304602085,1914-07-01
1914,8,0.04052250190694127,1914-08-01
1914,9,0.04052250190694127,1914-09-01
1914,10,0.04012522247648106,1914-10-01
1914,11,0.04052250190694127,1914-11-01
1914,12,0.04012522247648106,1914-12-01
1915,1,0.04012522247648106,1915-01-01
1915,2,0.03972794304602085,1915-02-01
1915,3,0.039330663615560646,1915-03-01
1915,4,0.03972794304602085,1915-04-01
1915,5,0.04012522247648106,1915-05-01
1915,6,0.04012522247648106,1915-06-01
1915,7,0.04012522247648106,1915-07-01
1915,8,0.04012522247648106,1915-08-01
1915,9,0.04012522247648106,1915-09-01
1915,10,0.04052250190694127,1915-10-01
1915,11,0.04091978133740148,1915-11-01
1915,12,0.04091978133740148,1915-12-01
1916,1,0.04131706076786169,1916-01-01
1916,2,0.04131706076786169,1916-02-01
1916,3,0.041714340198321896,1916-03-01
1916,4,0.0421116196287821,1916-04-01
1916,5,0.04250889905924231,1916-05-01
1916,6,0.042906178489702525,1916-06-01
1916,7,0.042906178489702525,1916-07-01
1916,8,0.04330345792016273,1916-08-01
1916,9,0.044098016781083146,1916-09-01
1916,10,0.044892575642003565,1916-10-01
1916,11,0.04568713450292398,1916-11-01
1916,12,0.04608441393338419,1916-12-01
1917,1,0.04648169336384439,1917-01-01
1917,2,0.04767353165522502,1917-02-01
1917,3,0.04767353165522502,1917-03-01
1917,4,0.05005720823798627,1917-04-01
1917,5,0.050851767098906694,1917-05-01
1917,6,0.05164632595982711,1917-06-01
1917,7,0.050851767098906694,1917-07-01
1917,8,0.05164632595982711,1917-08-01
1917,9,0.052838164251207735,1917-09-01
1917,10,0.05363272311212815,1917-10-01
1917,11,0.05363272311212815,1917-11-01
1917,12,0.054427281973048566,1917-12-01
1918,1,0.05561912026442919,1918-01-01
1918,2,0.0560163996948894,1918-02-01
1918,3,0.05561912026442919,1918-03-01
1918,4,0.05641367912534961,1918-04-01
1918,5,0.057605517416730236,1918-05-01
1918,6,0.05840007627765065,1918-06-01
1918,7,0.059989193999491486,1918-07-01
1918,8,0.061181032290872114,1918-08-01
1918,9,0.062372870582252736,1918-09-01
1918,10,0.06356470887363336,1918-10-01
1918,11,0.06475654716501399,1918-11-01
1918,12,0.0655511060259344,1918-12-01
1919,1,0.0655511060259344,1919-01-01
1919,2,0.06435926773455378,1919-02-01
1919,3,0.0651538265954742,1919-03-01
1919,4,0.06634566488685482,1919-04-01
1919,5,0.06714022374777523,1919-05-01
1919,6,0.06714022374777523,1919-06-01
1919,7,0.06912662090007628,1919-07-01
1919,8,0.0703184591914569,1919-08-01
1919,9,0.07071573862191712,1919-09-01
1919,10,0.07190757691329774,1919-10-01
