vehicle,brand,model,category,sales,year,month,source
Chevrolet Volt,Chevrolet,Volt,phev,326,2010,12,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,19,2010,12,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,321,2011,1,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,87,2011,1,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,281,2011,2,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,67,2011,2,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,608,2011,3,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,298,2011,3,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2011,3,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,493,2011,4,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,573,2011,4,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2011,4,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,481,2011,5,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1142,2011,5,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,8,2011,5,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,561,2011,6,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1708,2011,6,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,125,2011,7,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,931,2011,7,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,1,2011,7,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,302,2011,8,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1362,2011,8,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,1,2011,8,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,723,2011,9,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1031,2011,9,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1108,2011,10,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,849,2011,10,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,17,2011,10,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1139,2011,11,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,672,2011,11,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,101,2011,11,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1529,2011,12,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,76,2011,12,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,954,2011,12,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,182,2011,12,hybridcars.com
BMW Active E,BMW,Active E,bev,112,2012,1,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,603,2012,1,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,36,2012,1,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,676,2012,1,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,1,hybridcars.com
